Accident_ID,Date,Time_of_Day,Weather_Condition,Road_Condition,City,Severity,Vehicles_Involved,Injuries
A0001,2025-11-24,Night,Clear,Dry,Mysuru,2,1,8
A0002,2025-02-14,Evening,Clear,Dry,Mysuru,2,5,0
A0003,2025-10-15,Morning,Fog,Wet,Mandya,2,4,4
A0004,2025-01-04,Morning,Rain,Wet,Mysuru,2,3,1
A0005,2025-02-17,Afternoon,Clear,Wet,Hassan,3,1,7
A0006,2025-10-02,Night,Snow,Wet,Hassan,3,5,5
A0007,2025-10-23,Morning,Fog,Dry,Mysuru,3,1,3
A0008,2025-02-21,Afternoon,Clear,Dry,Tumakuru,2,3,5
A0009,2025-04-18,Night,Clear,Under Construction,Bengaluru,2,5,3
A0010,2025-03-25,Afternoon,Clear,Under Construction,Hassan,2,3,0
A0011,2025-04-28,Night,Cloudy,Dry,Bengaluru,2,5,5
A0012,2025-04-19,Evening,Rain,Icy,Mandya,2,3,2
A0013,2025-05-07,Night,Rain,Wet,Hassan,4,5,6
A0014,2025-07-05,Morning,Snow,Dry,Mandya,1,1,1
A0015,2025-03-20,Evening,Clear,Dry,Hassan,1,4,6
A0016,2025-11-02,Afternoon,Rain,Under Construction,Bengaluru,1,5,4
A0017,2025-11-25,Morning,Clear,Dry,Mandya,1,3,8
A0018,2025-04-02,Afternoon,Cloudy,Icy,Tumakuru,2,2,5
A0019,2025-03-24,Evening,Snow,Under Construction,Bengaluru,3,4,0
A0020,2025-02-27,Morning,Cloudy,Wet,Tumakuru,2,1,3
A0021,2025-10-18,Night,Clear,Dry,Bengaluru,2,2,7
A0022,2025-10-09,Morning,Clear,Icy,Mandya,2,5,3
A0023,2025-06-09,Afternoon,Snow,Wet,Mandya,4,1,3
A0024,2025-04-26,Night,Clear,Dry,Mysuru,2,1,1
A0025,2025-12-29,Evening,Clear,Dry,Bengaluru,3,1,8
A0026,2025-05-02,Morning,Rain,Wet,Mysuru,4,2,7
A0027,2025-07-28,Morning,Clear,Dry,Tumakuru,4,4,7
A0028,2025-01-28,Night,Rain,Wet,Bengaluru,4,3,1
A0029,2025-05-08,Morning,Clear,Dry,Mandya,2,3,7
A0030,2025-05-08,Night,Clear,Icy,Hassan,1,1,8
A0031,2025-01-08,Night,Cloudy,Wet,Mysuru,4,4,7
A0032,2025-04-20,Afternoon,Cloudy,Dry,Bengaluru,4,3,7
A0033,2025-05-27,Afternoon,Rain,Wet,Hassan,4,2,3
